size=large; appearance=light; increaseContrast=true; bold=false; reduceTransparency=false
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 873}, {440, 83}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 873}, {440, 83}}
 |  | {{0, 0}, {440, 956}}
 | Tab Bar | {{0, 873}, {440, 83}}
 |  | {{0, 873}, {440, 83}}
 |  | {{0, 0}, {440, 956}}
 |  | {{126, 873}, {188, 62}}
 |  | {{0, 873}, {440, 83}}
 |  | {{0, 0}, {440, 956}}
 |  | {{126, 873}, {94, 54}}
 |  | {{126, 873}, {188, 62}}
 |  | {{130, 877}, {94, 54}}
 |  | {{0, 873}, {440, 83}}
 |  | {{0, 873}, {440, 83}}
 |  | {{0, 0}, {440, 956}}
 | Search | {{130, 877}, {94, 54}}
 | You | {{216, 877}, {94, 54}}
 |  | {{130, 877}, {94, 54}}
 |  | {{0, 873}, {440, 83}}
 |  | {{0, 873}, {440, 83}}
Search |  | {{0, 62}, {440, 54}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 0}, {440, 956}}
magnifyingglass | Search | {{163, 883.66666666666663}, {27.666666666666657, 26.666666666666742}}
person.crop.circle.fill | account | {{249, 883.33333333333337}, {27.333333333333314, 27.333333333333258}}
 |  | {{130, 877}, {94, 54}}
 |  | {{130, 877}, {94, 54}}
 |  | {{0, 873}, {440, 83}}
 | Search | {{192, 73.666666666666657}, {55.666666666666657, 20.666666666666671}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 0}, {440, 956}}
 |  | {{130, 877}, {94, 54}}
 |  | {{130, 877}, {94, 54}}
 |  | {{0, 0}, {440, 956}}
 |  | {{130, 877}, {94, 54}}
 |  | {{130, 877}, {94, 54}}
 |  | {{0, 0}, {440, 956}}
 |  | {{130, 877}, {94, 54}}
default-control.list |  | {{0, 0}, {440, 956}}
 |  | {{0, -1796}, {440, 2026.3333333333333}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 138}, {440, 40.333333333333343}}
 |  | {{0, 178.33333333333334}, {440, 52}}
 |  | {{0, 230.33333333333337}, {440, 2026.333333333333}}
 |  | {{20, 229.33333333333334}, {400, 1}}
 |  | {{0, 252.33333333333334}, {440, 40.333333333333343}}
 |  | {{0, 292.66666666666663}, {440, 52.000000000000057}}
 |  | {{20, 343.66666666666669}, {400, 1}}
 | Vertical scroll bar, 1 page | {{407, 116}, {30, 757}}
 |  | {{0, 0}, {440, 170.80000000000004}}
 |  | {{0, 873}, {440, 83}}
 |  | {{0, 873}, {440, 83}}
 |  | {{0, 138}, {440, 40.333333333333343}}
 |  | {{0, 138}, {440, 40.333333333333343}}
 |  | {{0, 178.33333333333334}, {440, 52}}
 |  | {{0, 178.33333333333334}, {440, 52}}
 |  | {{0, 252.33333333333334}, {440, 40.333333333333343}}
 |  | {{0, 252.33333333333334}, {440, 40.333333333333343}}
 |  | {{0, 292.66666666666663}, {440, 52.000000000000057}}
 |  | {{0, 292.66666666666663}, {440, 52.000000000000057}}
 |  | {{434, 863}, {3, 7}}
 |  | {{0, 873}, {440, 83}}
 |  | {{0, 873}, {440, 83}}
 |  | {{0, 138}, {440, 40.333333333333343}}
 |  | {{0, 178.33333333333334}, {440, 52}}
 |  | {{0, 178.33333333333334}, {440, 52}}
 |  | {{0, 252.33333333333334}, {440, 40.333333333333343}}
 |  | {{0, 292.66666666666663}, {440, 52.000000000000057}}
 |  | {{0, 292.66666666666663}, {440, 52.000000000000057}}
 |  | {{0, 873}, {440, 83}}
 |  | {{0, 138}, {440, 40.333333333333343}}
 |  | {{0, 178.33333333333334}, {440, 52}}
 |  | {{0, 252.33333333333334}, {440, 40.333333333333343}}
 |  | {{0, 292.66666666666663}, {440, 52.000000000000057}}
 | Best Matches | {{0, 138}, {440, 40.333333333333343}}
default-control.rank-row | 日本, にほん, Japan | {{0, 178.33333333333334}, {440, 52}}
 | Additional Matches | {{0, 252.33333333333334}, {440, 40.333333333333343}}
 | Native result | {{0, 292.66666666666663}, {440, 52.000000000000057}}
 | #115 | {{20, 194.16666666666666}, {30.333333333333336, 14.333333333333343}}
 | 日本, Japan | {{84, 194.16666666666666}, {89, 20.333333333333343}}
chevron.forward |  | {{410.66666666666669, 198.33333333333334}, {7, 12}}
