component	run	device_class	os_version	configuration	signed	executable_bytes	bundle_file_bytes	packaged_resource_bytes	source_database_bytes	runtime_database_bytes	cold_prepare_ms	warm_six_query_iterations	warm_six_query_p50_ms	warm_six_query_p95_ms	steady_query_rss_bytes	peak_sampled_rss_bytes	rss_sample_interval_ms	steady_rss_definition	peak_rss_definition	eligible_rows_per_batch	sequential_hashes_equal	concurrent_workers	concurrent_hashes_equal	deterministic_hash	private_result_sha256	status
zenbu-literal-substring-baseline	1	iPhone14ProMax	iOS26.6	Release	true	182384	287687999	287490048	287490048	287490048	714.961625	100	233.81275	243.172917	89800704	93618176	10	median of 9 samples at 20ms intervals after sequential and concurrent query workloads while the corpus database remains open	maximum 10ms sample from before corpus copy/open through steady-query sampling; sampling may miss sub-10ms transients	243	true	8	true	dc6b66bb14b6453f2f0426bf2787de18895c48109d14175c7c67710c48f4c6d1	c318654b87fe5b5763135d68db0af4c47479de1f0d172aebeb7dc52b7390fd75	pass
zenbu-literal-substring-baseline	2	iPhone14ProMax	iOS26.6	Release	true	182384	287687999	287490048	287490048	287490048	724.414625	100	232.843292	236.362333	89833472	93700096	10	median of 9 samples at 20ms intervals after sequential and concurrent query workloads while the corpus database remains open	maximum 10ms sample from before corpus copy/open through steady-query sampling; sampling may miss sub-10ms transients	243	true	8	true	dc6b66bb14b6453f2f0426bf2787de18895c48109d14175c7c67710c48f4c6d1	24486270475f213c1c5c16870c2ce970a88925744f2b638ce780ac63675d4a50	pass
zenbu-literal-substring-baseline	3	iPhone14ProMax	iOS26.6	Release	true	182384	287687999	287490048	287490048	287490048	732.046083	100	238.32	249.544209	89800704	93683712	10	median of 9 samples at 20ms intervals after sequential and concurrent query workloads while the corpus database remains open	maximum 10ms sample from before corpus copy/open through steady-query sampling; sampling may miss sub-10ms transients	243	true	8	true	dc6b66bb14b6453f2f0426bf2787de18895c48109d14175c7c67710c48f4c6d1	f03308665a37365428221788cee307f7b58a7223b175b6e5116ae79ac27501b8	pass
sqlite-fts4-porter	1	iPhone14ProMax	iOS26.6	Release	true	182080	287687689	287490048	287490048	322945024	3939.339583	100	4.06875	4.158	96157696	117161984	10	median of 9 samples at 20ms intervals after sequential and concurrent query workloads while the corpus database remains open	maximum 10ms sample from before corpus copy/open through steady-query sampling; sampling may miss sub-10ms transients	1023	true	8	true	b97edd3fc55dfbb703e7f8944a9481eb7e8b9cb65829c423d57336c60dad06bf	c17d662546dd43e31a98f2b61bc3b419d7112cc895f103b97dc09e12a42bff70	pass
sqlite-fts4-porter	2	iPhone14ProMax	iOS26.6	Release	true	182080	287687689	287490048	287490048	322945024	3881.279208	100	4.108959	4.338375	96092160	117145600	10	median of 9 samples at 20ms intervals after sequential and concurrent query workloads while the corpus database remains open	maximum 10ms sample from before corpus copy/open through steady-query sampling; sampling may miss sub-10ms transients	1023	true	8	true	b97edd3fc55dfbb703e7f8944a9481eb7e8b9cb65829c423d57336c60dad06bf	3c623b0edd4f3bd7b39b5010097b2e344ffe59fb10205e4990f8e9974a6808a3	pass
sqlite-fts4-porter	3	iPhone14ProMax	iOS26.6	Release	true	182080	287687689	287490048	287490048	322945024	3606.1435	100	4.155542	4.406042	96141312	117063680	10	median of 9 samples at 20ms intervals after sequential and concurrent query workloads while the corpus database remains open	maximum 10ms sample from before corpus copy/open through steady-query sampling; sampling may miss sub-10ms transients	1023	true	8	true	b97edd3fc55dfbb703e7f8944a9481eb7e8b9cb65829c423d57336c60dad06bf	9d31b01dadb90f0167e13e9bad9c880cc0886349b4afafae729c2ecbbbb2cee3	pass
