size=large; appearance=dark; increaseContrast=false; bold=false; reduceTransparency=false
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 873}, {440, 83}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 873}, {440, 83}}
 |  | {{0, 0}, {440, 956}}
 | Tab Bar | {{0, 873}, {440, 83}}
 |  | {{0, 873}, {440, 83}}
 |  | {{0, 0}, {440, 956}}
 |  | {{126, 873}, {188, 62}}
 |  | {{0, 873}, {440, 83}}
 |  | {{0, 0}, {440, 956}}
 |  | {{126, 873}, {94, 54}}
 |  | {{126, 873}, {188, 62}}
 |  | {{130, 877}, {94, 54}}
 |  | {{0, 873}, {440, 83}}
 |  | {{0, 873}, {440, 83}}
 |  | {{0, 0}, {440, 956}}
 | Search | {{130, 877}, {94, 54}}
 | You | {{216, 877}, {94, 54}}
 |  | {{130, 877}, {94, 54}}
 |  | {{0, 873}, {440, 83}}
 |  | {{0, 873}, {440, 83}}
日本 |  | {{0, 62}, {440, 54}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 0}, {440, 956}}
magnifyingglass | Search | {{163, 883.66666666666663}, {27.666666666666657, 26.666666666666742}}
person.crop.circle.fill | account | {{249, 883.33333333333337}, {27.333333333333314, 27.333333333333258}}
 |  | {{130, 877}, {94, 54}}
 |  | {{130, 877}, {94, 54}}
 |  | {{0, 873}, {440, 83}}
 | 日本 | {{203, 73.666666666666657}, {34, 20.666666666666671}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 0}, {440, 956}}
 |  | {{130, 877}, {94, 54}}
 |  | {{130, 877}, {94, 54}}
 |  | {{0, 0}, {440, 956}}
 |  | {{130, 877}, {94, 54}}
 |  | {{130, 877}, {94, 54}}
 |  | {{0, 0}, {440, 956}}
 |  | {{130, 877}, {94, 54}}
default-control.list |  | {{0, 0}, {440, 956}}
 |  | {{-20, -1796}, {480, 2016.6666666666667}}
 |  | {{0, 0}, {440, 956}}
 |  | {{0, 0}, {440, 956}}
 |  | {{20, 151}, {400, 52}}
 |  | {{-20, 220.66666666666669}, {480, 110}}
 |  | {{20, 220.66666666666666}, {400, 40.333333333333343}}
 |  | {{20, 261}, {400, 52}}
 |  | {{-20, 330.33333333333337}, {480, 110}}
 |  | {{20, 330.33333333333337}, {400, 40.333333333333314}}
 |  | {{20, 370.66666666666669}, {400, 52}}
 |  | {{-20, 440.33333333333331}, {480, 109.99999999999994}}
 |  | {{20, 440.33333333333331}, {400, 40.333333333333371}}
 |  | {{20, 480.66666666666669}, {400, 52.000000000000057}}
 |  | {{-20, 550.00000000000011}, {480, 2024.3333333333335}}
 |  | {{20, 550}, {400, 40.333333333333371}}
 |  | {{20, 590.33333333333326}, {400, 52}}
 | Vertical scroll bar, 1 page | {{407, 116}, {30, 757}}
 |  | {{0, 873}, {440, 83}}
 |  | {{20, 151}, {400, 52}}
 |  | {{20, 151}, {400, 52}}
 |  | {{20, 220.66666666666666}, {400, 40.333333333333343}}
 |  | {{20, 220.66666666666666}, {400, 40.333333333333343}}
 |  | {{20, 261}, {400, 52}}
 |  | {{20, 261}, {400, 52}}
 |  | {{20, 330.33333333333337}, {400, 40.333333333333314}}
 |  | {{20, 330.33333333333337}, {400, 40.333333333333314}}
 |  | {{20, 370.66666666666669}, {400, 52}}
 |  | {{20, 370.66666666666669}, {400, 52}}
 |  | {{20, 440.33333333333331}, {400, 40.333333333333371}}
 |  | {{20, 440.33333333333331}, {400, 40.333333333333371}}
 |  | {{20, 480.66666666666669}, {400, 52.000000000000057}}
 |  | {{20, 480.66666666666669}, {400, 52.000000000000057}}
 |  | {{20, 550}, {400, 40.333333333333371}}
 |  | {{20, 550}, {400, 40.333333333333371}}
 |  | {{20, 590.33333333333326}, {400, 52}}
